vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
71063549,Аналитик данных (ДТРРБ),"Иннотех, Группа компаний",,1,"Москва, Центральный административный округ, Пресненский район, Московский международный деловой центр Москва-Сити",55.749451,37.542824,,,,,2022-11-23 09:58:09,2022-11-23 09:58:09,FLEXIBLE,"Навыки сбора, обработки и анализа больших массивов данных из разных источников. Знание методов анализа данных, визуализации и презентации результатов. ","Применение методов анализа данных широкого спектра, построение моделей, фиксацию выводов и презентацию результатов. Развитие методологии отчетности, качества корпоративных данных и...",,
72728137,Аналитик данных в команду репутационной системы,АВИТО ТЕХ: поддержка и модерация,АВИТО ТЕХ: поддержка и модерация,1,"Москва, Лесная улица, 7",55.778669,37.587964,,,,,2022-11-22 07:43:57,2022-11-22 19:45:27,FULL_DAY,"применяли методы статистики и математики для решения прикладных задач. — любознательны, умеете презентовать результаты своих исследований и объяснять сложные вещи простыми...","взаимодействовать с другими командами для определения стратегии развития существующих продуктов. — получили высшее образование в области вычислительной математики, анализа данных, статистики...",В Авито сильная культура использования данных и удобная развитая инфраструктура для аналитиков. Для начинающих карьеру специалистов работа здесь — уникальный опыт...,
72759772,"Старший аналитик данных, Отдел продуктовой аналитики, Группа кросдоменной аналитики",Ozon Информационные технологии,Ozon Информационные технологии,1,"Москва, Пресненская набережная",55.746791,37.540991,,,,,2022-11-22 15:51:34,2022-11-27 07:01:20,REMOTE,...аналитике от 3х лет. Прекрасное знание Python. Владение SQL на высоком уровне. Наличие продуктового мышления или навыки продуктовой аналитики. ,"Плотное взаимдействия с командой разработки по предмет поиска данных и развития функционала, выкатывания новых фич. Управление бэклогом, формирование задач на...","Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Свободу действий в принятии решений. ",
72745842,Аналитик данных,ФГБУ АГРОЭКСПОРТ,,1,,,,,,,,2022-11-22 11:51:31,2022-11-22 19:38:57,FULL_DAY,"Опыт работы в сфере поиска, сбора, обработки и анализа данных (BigData) не менее 1 года. Умение эффективно работать в режиме...","...баз данных (PostgreSQL, Hadoop) или аналогичных инструментов. Автоматизация сбора не типизированных данных, их подготовка и загрузка в базы данных. ",,
71020353,Аналитик данных/Data analyst,Благо Кредит,,1,,,,,,,,2022-11-23 06:58:47,2022-11-23 06:58:47,FULL_DAY,"Опыт построения моделей данных в Tabular и знание ключевых принципов. Моделирования данных. Знание DAX, M Code будет плюсом. ",...витрин данных и мониторинга их качества. Постановка задач по обогащению хранилища данных. Построение и администрирование моделей данных. Подготовка аналитики по...,"Работа в стабильной розничной федеральной сети. Официальное трудоустройство по ТК РФ. График работы обсуждается с кандидатом (офис, удаленная работа, гибридный...",
72727660,Аналитик данных в команду коммуникаций,АВИТО ТЕХ: аналитика,АВИТО ТЕХ: аналитика,1,"Москва, Лесная улица, 7",55.778669,37.587964,,,,,2022-11-22 07:38:26,2022-11-22 09:06:56,FULL_DAY,"строить дашборды в Redash. — математическая статистика и теория вероятности. — высокий уровень владения SQL, опыт написания витрин. — высокий уровень владения Python...","Наша команда развивает коммуникационные продукты Авито. Среди них есть коллтрекинг, который помогает бизнесам на Авито отслеживать звонки по объявлениям, и...","мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы. — личный бюджет на обучение, который можно тратить на книги...",
71574758,Аналитик данных в клиентском опыте,Ингосстрах,,1,"Москва, Пятницкая, 12 стр. 2",55.74339,37.627041,,,,,2022-11-22 06:14:02,2022-11-22 06:14:02,FULL_DAY,"Высшее образование (социологическое, маркетинговое, экономическое, финансовое, математическое, техническое). Обязательное знание статистических методов анализа данных: корреляционный анализ, факторный анализ, кластерный анализ...","Вывод таблиц данных с частотным распределением, базовыми статистическими показателями (значимости, средняя значения и т.п.). Текстовая аналитика. Статистический анализ данных. ",Работа в ТОП-10 страховых компаний РФ. Стабильная заработная плата. График 5/2 9:00-18:00. ДМС сразу после...,
70485345,"Аналитик данных, социальная коммерция",Ozon Информационные технологии,Ozon Информационные технологии,1,"Москва, Пресненская набережная",55.746791,37.540991,,,,,2022-11-21 15:12:54,2022-11-27 07:01:20,FULL_DAY,"Опыт работы аналитиком данных не менее двух лет. Опыт анализа данных, работы с хранилищем данных и поиска связей в данных. ",Выявлять возникающие у пользователей проблемы на основе данных и находить способы их решения. Изучать поведение пользователей на основе собранных данных...,"Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке social commerce. Свободу действий в принятии решений. ",
72678724,Аналитик по качеству данных ДАДМ,"Иннотех, Группа компаний",,1,,,,,,,,2022-11-21 10:20:14,2022-11-22 08:00:30,FULL_DAY,"Умение вести коммуникации с бизнес-заказчиками. Опыт участия в проектах по аналитике данных. Знания Phyton,PySpark, Hadoop. Опыт работы с...","...и модификации данных) , связанной с выявлением причин по возникновению ошибок качества данных. Выполнение регулярного мониторинга соответствия качества данных в IT...",,
71677969,Аналитик данных,Газпромбанк,Газпромбанк,1,,,,,,,,2022-11-22 12:40:28,2022-11-23 13:30:58,FULL_DAY,"Опыт работы от 3-х лет. Высшее образование. Экспертное знание Excel и его связки с MSSQL, SQL (Postrgess), MSSQL, Python. ",Автоматизация процессов выгрузки и загрузки данных и генерации отчетов. Администрирование ОЛАП-куба. Автоматизация обновления данных в презентациях и регулярных отчетах. ,,
