vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
72460074,Data analyst/ Data Scientist (удаленно),«РОСБАНК»,«РОСБАНК»,1,,,,,,,,2022-11-17 08:39:01,2022-11-21 08:40:30,REMOTE,"Опыт работы с большими массивами данных. Знание SQL (в том числе оконные функции, cte, индексы, view, оптимизация запросов). ","Data Engineering: формирование data pipelines, архитектуры базы данных, ETL. System analysis: написание документации, формализация требований к проектам; изучение документации сторонних...",Полностью дистанционный формат работы – это возможность работать из любой точки. Стабильный и прозрачный доход: зарплата и премии по результатам работы. ,
71133669,Senior Data Scientist,АльфаСтрахование,,1,,,,,,,,2022-11-17 13:45:44,2022-11-17 13:45:44,FULL_DAY,"Уверенные знания в области мат. статистики, теории вероятностей, линейной алгебры; Опыт классического DS от 2 лет. Осознанный подход к выбору...",Apache Hadoop (Cloudera) – data lake. Mlflow – Версионирование моделей. Airflow – Пайплайны обработки данных и применения моделей. Python – Разработка моделей. ,"Работу в профессиональной команде разработчиков, которая готова делиться знаниями и опытом. Прозрачную систему грейдов , возможность внешнего обучения и прокачки твоих...",
70731531,Senior data scientist,ЛОКО-БАНК,,1,"Москва, Ленинградский проспект, 39с80",55.796562,37.536922,,,,,2022-11-17 13:03:06,2022-11-23 14:41:57,FULL_DAY,"Профильный опыт работы в банке в области оценки кредитных рисков. Знание SQL на уровне написания сложных запросов, разработки и автоматизации...","Формирование и сопровождение витрин данных для целей моделирования, прогнозирования и data-аналитики. Статистический анализ факторов риска. Расширение, автоматизация и систематизация...","Оформление в соответствии с ТК РФ. Офисный форматы работы. Режим работы: с 9.30 до 18.30, в пятницу с...",
68115103,Data Scientist/Data Engineer,Сбер. IT,Сбер. IT,1,"Москва, Кутузовский проспект, 32",55.740421,37.532071,,,,,2022-11-15 11:15:07,2022-11-27 07:01:20,FULL_DAY,"Знание теории ML (классы задач, подходы, библиотеки, фреймворки). Опыт проектирования и разработки data pipelines, ETL-процессов, API. Python 3 (async...","Разработка и внедрение приложений с использованием алгоритмов машинного обучения. Разработка, построение и обслуживание инфраструктуры работы с данными. Приведение неструктурированных данных...","Опыт работы с рекомендательными системами. Spark. Hadoop, HDFS. OpenShift. Условия: Самые инновационные, амбициозные проекты и задачи. Профессиональное обучение, семинары, тренинги...",
72356204,Data Scientist,КомплИТех,,1,"Минск, улица Филимонова, 25Г",53.917108,27.634783,,,,,2022-11-15 11:06:19,2022-11-24 14:00:51,FULL_DAY,"Опыт коммерческой деятельности от 1 года. Понимание математической статистики и теории вероятностей. Хорошее владение numpy, pandas, sklearn, matplotlib, OpenCV, PyTorch...","Сбор данных. Обучение, тестирование, оптимизация и подготовка моделей к продакшну.",Конкурентная оплата труда. Отпуск согласно ТК РФ. После успешного прохождения испытательного срока предоставляется медицинская страховка. Sick days. Возможен вариант удаленной...,
72495949,Data Science Team Lead,Банк Открытие,,1,"Москва, улица Большая Ордынка, 40с4",55.736412,37.621767,,,,,2022-11-18 06:13:23,2022-11-18 06:13:23,FULL_DAY,Опыт управления командой data science от 1 до 3 лет. Высшее техническое образование. Опыт построение моделей в банка/ teamlead в...,Руководство командой data science специалистов. Полный цикл от постановки задачи до ее имплементации. Участие в MLOps проектах на лидирующих ролях. ,"Стать частью крупного, динамично развивающегося банка. Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам. Неограниченные возможности для совершенствования...",
71493755,"Главный/ведущий экономист в Data Science-команду (рыночные риски, управление данными)",Центральный банк Российской Федерации,,1,"Москва, Настасьинский переулок, 3",55.767276,37.60337,,,,,2022-11-21 08:17:45,2022-11-25 13:49:20,FULL_DAY,Опыт в области Data Mining/Data Science в экосистеме Hadoop. Опыт работы и понимание сервиса REST API. Опыт работы с...,"Участие в разработке внедрения внутренней системы учёта данных, в рамках неё описание механизмов кластеризации, описания и планирования поставки данных с...",Обсуждаются индивидуально.,
72422598,Data scientist (SberWorks),Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-16 13:12:57,2022-11-27 07:01:20,FULL_DAY,"Имеете опыт использования библиотек, облегчающих задачи Data scientist’ов и интерпретацию результатов их работы (SHAP, mlflow и пр.). ",Команда занимается реализацией проектов по end-to-end внедрению алгоритмов машинного обучения в производственном процессе Банка. Сюда входит формализация бизнес...,"Место работы: м. Тульская, Нагатинская, МДЦ Верхние Котлы. График работы 5/2 (время начала рабочего дня готовы обсудить). ",
72390089,Middle+ Data Scientist,Сбер. Data Science,Сбер. Data Science,1,,,,,,,,2022-11-16 05:59:50,2022-11-27 07:01:20,FULL_DAY,"Опыт работы по направлению от 3-х лет. Опыт работы с различными источниками данных, в том числе с базами данных...","Поиск точек роста качества классификации документов на актив, передаваемый в залог банку, и данных в них. Составление и тестирование гипотез...","Достойная заработная плата (подробнее на собеседовании), возможность роста по результатам работы. Возможность развития и повышение компетенций за счет отлаженной системы...",
72567310,Junior+/pre-middle Data Scientist (дистанционно),DataLouna,,1,,,,100000.0,180000.0,RUR,False,2022-11-18 19:26:47,2022-11-21 12:29:09,FULL_DAY,Знание основных фреймворком машинного обучения. Scikit-learn. Pandas/numpy. Xgboost/lightgbm/catboost. Automl. Matplotlib/plotly/seaborn. Знание основных принципов программирование. ,Проектировка и разработка пайплайнов обработки данных. Генерация гипотез и проведение экспериментов. Построение аналитических отчетов. Построение и улучшение mlflow процессов.,Достойная оплата труда (обсуждается индивидуально по итогам собеседования). Гибкий рабочий график. Удаленная работа. Возможность карьерного роста внутри команды.,
72376925,Data Scientist (МСФО),Газпромбанк,Газпромбанк,1,,,,,,,,2022-11-15 17:01:30,2022-11-25 08:44:06,FULL_DAY,"Знание основных методов ML моделирования (линейные, лог, деревья, ансабли и т.д.). SAS Guide, SAS Miner.","Разработка МСФО моделей оценки риска для целей резервирования ( PD , LGD , EAD ). - Подготовка отчетности по моделям. - Подготовка бизнес требований для контрагентов...",,
